Office,Location,Zip Code,Type,Url,Location 1
Danbury Office,2 Lee Mack Avenue,06810,Hub,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244582,"2 Lee Mack Avenue
Danbury, CT 06810
(41.38830726000049, -73.46926109599963)"
Hamden Office,1985 State Street,06517,Hub,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244590,"1985 State Street
Hamden, CT 06517
(41.33585885600047, -72.89982729299965)"
Norwalk Office,540 Main Avenue,06851,Hub,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244600,"540 Main Avenue
Norwalk, CT 06851
(41.15498767200046, -73.42393918299967)"
Waterbury Office,2210 Thomaston Avenue,06704,Hub,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244612,"2210 Thomaston Avenue
Waterbury, CT 06704
(41.59910059900045, -73.05787889099963)"
Westport AAA,419 Post Road East,06880,AAA Office,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244578,"419 Post Road East
Westport, CT 06880
(41.139933966000456, -73.35038042799965)"
Waterbury AAA,835 Wolcott Street,06705,AAA Office,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244578,"835 Wolcott Street
Waterbury, CT 06705
(41.56427576800047, -73.00939958799967)"
Milford AAA,827 Bridgeport Avenue,06460,AAA Office,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244578,"827 Bridgeport Avenue
Milford, CT 06460
(41.21226430000047, -73.07898222799963)"
Branford AAA,143 Cedar Street,06405,AAA Office,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244578,"143 Cedar Street
Branford, CT 06405
(41.28739601700045, -72.81918620699963)"
West Hartford AAA,815 Farmington Avenue,06119,AAA Office,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244578,"815 Farmington Avenue
West Hartford, CT 06119
(41.76462222300046, -72.72928534399966)"
Plainville AAA,17 Farmington Avenue,06062,AAA Office,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244578,"17 Farmington Avenue
Plainville, CT 06062
(41.675373410000475, -72.85799157799966)"
Old Saybrook AAA,210 Main Street,06475,AAA Office,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244578,"210 Main Street
Old Saybrook, CT 06475
(41.29233657000049, -72.37621572499967)"
Manchester AAA,1500 G Pleasant Valley Road,06042,AAA Office,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244578,"1500 G Pleasant Valley Road
Manchester, CT 06042
(41.79674068200046, -72.52164942199965)"
Enfield AAA,109 Elm Street,06082,AAA Office,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244578,"109 Elm Street
Enfield, CT 06082
(41.998017234000486, -72.58192229199966)"
Middletown Photo License Center,386 Main Street ,06457,Photo License Center,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244592,"386 Main Street
Middletown, CT 06457
(41.56149369500048, -72.65038473999965)"
Derby Photo License Center,12 Main St,06418,Photo License Center,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244584,"12 Main St
Derby, CT 06418
(41.31865520800045, -73.08142523699962)"
Old Saybrook Office,7 Custom Drive,06475,Branch,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244606,"7 Custom Drive
Old Saybrook, CT 06475
(41.291661295000495, -72.42332441999963)"
Norwich Office,173 Salem Turnpike,06360,Branch,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244604,"173 Salem Turnpike
Norwich, CT 06360
(41.50857411300046, -72.11913626399962)"
New Britain Office,85 North Mountain Road,06053,Branch,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244596,"85 North Mountain Road
New Britain, CT 06053
(41.67129987700048, -72.82127631399965)"
Enfield Office,4 Pearson Way,06082,Branch,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244588,"4 Pearson Way
Enfield, CT 06082
(42.0021837430005, -72.55812936499967)"
Bridgeport Office,95 Sylvan Avenue,06606,Hub,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244580,"95 Sylvan Avenue
Bridgeport, CT 06606
(41.2087718680005, -73.19138083499968)"
Stamford AAA,1101 High Ridge Road,06905,AAA Office,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244578,"1101 High Ridge Road
Stamford, CT 06905
(41.108370496000475, -73.54749678799965)"
Hamden AAA,2276 Whitney Avenue,06518,AAA Office,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244578,"2276 Whitney Avenue
Hamden, CT 06518
(41.38051228000046, -72.90296360999963)"
Danbury AAA,93 Lake Avenue,06810,AAA Office,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244578,"93 Lake Avenue
Danbury, CT 06810
(41.38866812500049, -73.47317982599964)"
Waterford AAA,117 Boston Post Road,06385,AAA Office,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244578,"117 Boston Post Road
Waterford, CT 06385
(41.342157546000465, -72.12447844699966)"
Cromwell AAA,34 Shunpike Road,06416,AAA Office,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244578,"34 Shunpike Road
Cromwell, CT 06416
(41.60224322500045, -72.67613496499968)"
Avon AAA,70 East Main Street,06001,AAA Office,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244578,"70 East Main Street
Avon, CT 06001
(41.80738180500049, -72.82423066999962)"
Milford Office,70 West River Street,06460,Photo License Center,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244594,"70 West River Street
Milford, CT 06460
(41.22661128700048, -73.05897758999964)"
Winsted Office,151 Torrington Road,06098,Satellite,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244602,"151 Torrington Road
Winsted, CT 06098
(41.89578747200045, -73.07298215699967)"
Putnam Office,165 Kennedy Drive,06260,Satellite,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244588,"165 Kennedy Drive
Putnam, CT 06260
(41.91350268700046, -71.91075301299963)"
Willimantic Office,1557 West Main Street,06226,Hub,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244618,"1557 West Main Street
Willimantic, CT 06226
(41.7199387710005, -72.23658849899965)"
Wethersfield Office,60 State Street,06161,Hub,http://www.ct.gov/dmv/cwp/view.asp?a=808&q=244616,"60 State Street
Wethersfield, CT 06161
(41.71800049100045, -72.65510626599962)"
